id,stroop.congruence,simon.congruence,stroop.ern.fz.l,stroop.ern.fz.v,stroop.ern.pz.l,stroop.ern.pz.v,stroop.ern.cz.l,stroop.ern.cz.v,simon.ern.fz.l,simon.ern.fz.v,simon.ern.pz.l,simon.ern.pz.v,simon.ern.cz.l,simon.ern.cz.v,stroop.p1.fz.l,stroop.p1.fz.v,stroop.p1.pz.l,stroop.p1.pz.v,stroop.p1.cz.l,stroop.p1.cz.v,simon.p1.fz.l,simon.p1.fz.v,simon.p1.pz.l,simon.p1.pz.v,simon.p1.cz.l,simon.p1.cz.v,stroop.n1.fz.l,stroop.n1.fz.v,stroop.n1.pz.l,stroop.n1.pz.v,stroop.n1.cz.l,stroop.n1.cz.v,simon.n1.fz.l,simon.n1.fz.v,simon.n1.pz.l,simon.n1.pz.v,simon.n1.cz.l,simon.n1.cz.v,stroop.p2.fz.l,stroop.p2.fz.v,stroop.p2.pz.l,stroop.p2.pz.v,stroop.p2.cz.l,stroop.p2.cz.v,simon.p2.fz.l,simon.p2.fz.v,simon.p2.pz.l,simon.p2.pz.v,simon.p2.cz.l,simon.p2.cz.v,stroop.n300.fz.l,stroop.n300.fz.v,stroop.n300.pz.l,stroop.n300.pz.v,stroop.n300.cz.l,stroop.n300.cz.v,simon.n300.fz.l,simon.n300.fz.v,simon.n300.pz.l,simon.n300.pz.v,simon.n300.cz.l,simon.n300.cz.v,stroop.p3.fz.l,stroop.p3.fz.v,stroop.p3.pz.l,stroop.p3.pz.v,stroop.p3.cz.l,stroop.p3.cz.v,simon.p3.fz.l,simon.p3.fz.v,simon.p3.pz.l,simon.p3.pz.v,simon.p3.cz.l,simon.p3.cz.v,stroop.n400.fz.l,stroop.n400.fz.v,stroop.n400.pz.l,stroop.n400.pz.v,stroop.n400.cz.l,stroop.n400.cz.v,simon.n400.fz.l,simon.n400.fz.v,simon.n400.pz.l,simon.n400.pz.v,simon.n400.cz.l,simon.n400.cz.v,stroop.p4.fz.l,stroop.p4.fz.v,stroop.p4.pz.l,stroop.p4.pz.v,stroop.p4.cz.l,stroop.p4.cz.v,simon.p4.fz.l,simon.p4.fz.v,simon.p4.pz.l,simon.p4.pz.v,simon.p4.cz.l,simon.p4.cz.v,stroop.lpc.fz.l,stroop.lpc.fz.v,stroop.lpc.pz.l,stroop.lpc.pz.v,stroop.lpc.cz.l,stroop.lpc.cz.v,simon.lpc.fz.l,simon.lpc.fz.v,simon.lpc.pz.l,simon.lpc.pz.v,simon.lpc.cz.l,simon.lpc.cz.v
101,congruent,Congruent,354,6.903385,328,6.851781,344,8.558904,,,,,,,102,-10.77028,80,-6.926929,102,-7.700634,,,,,,,102,-10.77028,80,-6.926929,102,-7.700634,,,,,,,228,10.353477,244,11.19118,236,11.517066,,,,,,,310,4.79056,300,5.336096,300,6.907781,,,,,,,354,6.903385,328,6.851781,344,8.558904,,,,,,,422,0.993293,438,0.689581,430,1.79119,,,,,,,558,5.611107,546,4.723464,556,6.019402,,,,,,,656,3.377315,770,6.321348,658,2.977021,,,,,,
102,congruent,Congruent,356,0.593766,334,6.045244,326,2.80011,328,7.793783,328,12.433349,326,13.054848,126,-4.67708,116,-2.866014,116,-3.731176,136,-4.795355,110,-1.227825,106,-2.496596,126,-4.67708,116,-2.866014,116,-3.731176,136,-4.795355,110,-1.227825,106,-2.496596,228,14.657676,238,10.170852,228,11.991351,238,1.393144,150,3.329394,162,1.010073,304,1.300371,318,6.241196,306,2.689048,214,0.439326,200,-0.954673,202,-1.492041,356,0.593766,334,6.045244,326,2.80011,328,7.793783,328,12.433349,326,13.054848,492,-2.0206,422,0.867354,414,-0.458466,452,-2.113559,480,0.95679,450,0.083542,514,-2.475329,524,1.852411,516,0.018349,512,0.027626,520,1.724531,512,1.392756,684,-1.750443,656,0.330775,656,0.000581,720,1.584043,792,1.477416,738,1.944736
103,congruent,Congruent,278,2.720535,278,3.918779,280,4.186045,406,4.155901,414,11.036613,414,9.008016,112,-2.513643,66,-2.968678,114,-3.435485,100,-0.179675,72,-1.865753,102,-1.158493,112,-2.513643,66,-2.968678,114,-3.435485,100,-0.179675,72,-1.865753,102,-1.158493,218,6.193868,184,5.028199,208,5.250103,186,3.338801,186,2.413036,206,3.179114,272,2.306198,236,-1.556051,238,2.114039,292,-2.709807,240,-2.112232,262,-0.67245,278,2.720535,278,3.918779,280,4.186045,406,4.155901,414,11.036613,414,9.008016,334,-2.48911,310,3.392691,320,2.533932,538,-0.938838,514,7.087652,300,2.07428,392,2.132707,398,8.750664,394,7.868053,586,0.004646,542,6.40559,510,4.525122,636,-0.43421,644,4.316277,636,2.169712,650,0.455055,728,2.745699,608,2.121801
104,congruent,Congruent,354,5.046932,354,6.618902,354,8.045033,,,,,,,124,-3.132061,88,-2.078302,124,-2.571107,,,,,,,124,-3.132061,88,-2.078302,124,-2.571107,,,,,,,218,2.540266,204,1.740573,208,2.205254,,,,,,,256,0.966945,158,-1.551143,246,0.597493,,,,,,,354,5.046932,354,6.618902,354,8.045033,,,,,,,468,0.1539,492,3.792468,482,3.092115,,,,,,,486,0.436718,508,3.984698,590,-0.541723,,,,,,,760,-0.55832,762,1.030218,762,0.621692,,,,,,
105,congruent,Congruent,432,0.502163,430,5.504877,432,4.797932,418,5.430871,410,9.758063,416,9.732379,128,-4.470026,138,-4.123346,132,-4.963352,144,-4.64965,128,-3.905738,142,-4.163885,128,-4.470026,138,-4.123346,132,-4.963352,144,-4.64965,128,-3.905738,142,-4.163885,226,4.477813,196,1.176027,224,3.063602,244,0.090373,206,1.609209,260,2.165219,322,-5.273044,298,-2.332155,302,-2.687405,186,-5.259585,232,-0.993268,294,0.86373,432,0.502163,430,5.504877,432,4.797932,418,5.430871,410,9.758063,416,9.732379,504,-2.719122,494,1.943699,498,1.146073,470,1.957071,494,3.96219,494,4.307846,594,-0.963018,538,3.076729,540,2.426228,502,2.181718,504,4.083013,532,3.422922,720,0.990429,648,3.060335,648,3.270678,782,2.20964,640,2.270865,628,2.973786
106,congruent,Congruent,270,3.275423,354,4.784324,304,4.633692,372,5.291428,348,6.787825,374,6.064311,100,-1.666638,128,-3.167186,118,-2.683402,106,-2.658885,82,-1.130381,100,-2.672063,100,-1.666638,128,-3.167186,118,-2.683402,106,-2.658885,82,-1.130381,100,-2.672063,206,3.595323,190,5.970491,190,3.892936,220,2.666343,154,3.315696,234,2.726445,230,2.744144,238,2.340157,228,1.606218,162,-2.517268,224,1.205359,262,0.433599,270,3.275423,354,4.784324,304,4.633692,372,5.291428,348,6.787825,374,6.064311,490,-2.30265,492,1.779742,490,2.03347,476,-2.153517,486,2.308428,506,0.024036,388,0.566684,456,3.825548,548,2.524263,552,-1.726741,542,2.926336,568,0.653529,762,-1.297657,762,1.895034,616,1.866167,792,-0.040765,636,1.981779,792,1.058063
107,congruent,NA,256,5.642812,280,3.065899,270,5.978613,348,7.773042,340,10.00324,332,10.649632,106,-4.277618,128,-2.184605,106,-4.615772,98,-0.215569,66,-6.477024,84,-2.260578,106,-4.277618,128,-2.184605,106,-4.615772,98,-0.215569,66,-6.477024,84,-2.260578,198,8.504857,192,6.137145,192,6.538031,198,1.930215,172,2.070232,194,0.571664,234,5.749862,236,-0.44073,234,3.46969,248,-0.968448,230,-4.090491,230,-1.690749,256,5.642812,280,3.065899,270,5.978613,348,7.773042,340,10.00324,332,10.649632,344,-2.906284,422,-3.17105,410,-2.388353,448,-4.514273,448,-0.675021,432,-0.774735,436,0.318387,498,0.784012,590,-0.565686,542,1.96638,554,3.420873,540,5.298963,768,0.634554,766,1.964986,754,3.284319,782,3.147164,736,2.236829,780,3.422789
108,congruent,Congruent,394,-3.664984,394,-0.76252,394,-2.814256,400,1.137097,392,4.011192,392,2.382467,76,-2.15463,74,-2.122714,112,-3.296958,110,-3.508016,112,-2.112698,110,-4.153866,76,-2.15463,74,-2.122714,112,-3.296958,110,-3.508016,112,-2.112698,110,-4.153866,234,3.038628,172,1.230853,230,2.818364,154,-1.3146,148,2.278455,152,-0.632339,336,-5.894131,340,-4.099257,336,-5.361296,174,-2.3585,220,-3.342548,232,-3.301695,394,-3.664984,394,-0.76252,394,-2.814256,400,1.137097,392,4.011192,392,2.382467,446,-4.404796,456,-1.942966,448,-3.874074,478,-3.678159,482,-0.702978,466,-2.846741,588,0.559607,544,1.011884,546,0.250801,588,-0.714237,558,1.157355,560,-0.468649,788,2.232015,654,1.82615,652,1.612701,754,1.06891,758,-0.652019,756,0.262922
109,congruent,Congruent,290,-8.764753,360,-2.392797,312,-6.883772,330,-0.302826,448,2.138057,330,1.494905,106,0.730495,138,-0.257923,116,0.233015,88,-1.738084,138,-0.862413,138,-2.180484,106,0.730495,138,-0.257923,116,0.233015,88,-1.738084,138,-0.862413,138,-2.180484,182,3.29193,182,2.521153,182,2.324586,170,-0.865641,160,1.640247,172,-0.198768,274,-9.494147,274,-6.146029,272,-8.213656,244,-4.325184,242,-1.690331,240,-2.558328,290,-8.764753,360,-2.392797,312,-6.883772,330,-0.302826,448,2.138057,330,1.494905,398,-17.011894,456,-6.784173,408,-12.627892,420,-3.048799,334,0.450729,356,1.167927,450,-14.282676,518,-5.442501,556,-9.616801,532,0.481516,584,1.086672,466,2.26676,794,0.871762,780,-0.531417,780,0.665896,760,0.141879,626,0.47995,742,0.188961
110,congruent,Congruent,322,3.542109,322,3.61814,320,4.549165,310,7.713484,334,8.939519,316,10.429099,106,-2.450337,72,-2.395359,82,-3.16652,96,-5.689156,108,-2.189261,96,-5.520747,106,-2.450337,72,-2.395359,82,-3.16652,96,-5.689156,108,-2.189261,96,-5.520747,178,4.174816,188,5.126637,186,4.324261,176,-1.214526,188,2.026144,180,0.573981,274,0.919971,282,1.569342,260,2.095167,218,-6.383289,222,-0.320336,218,-3.798577,322,3.542109,322,3.61814,320,4.549165,310,7.713484,334,8.939519,316,10.429099,472,-1.030523,464,0.307946,442,-0.353797,446,-4.896424,498,-1.659852,458,-2.648741,546,-0.421652,518,0.21559,490,0.493134,514,-2.396346,510,-1.461345,514,-2.465129,756,0.097988,696,-0.509805,696,-0.096341,780,-0.267094,770,-0.484209,780,-0.406605
