"","id","Condition","Task","ElectrodeSite","ern.l","ern.v","p1.l","p1.v","n1.l","n1.v","p2.l","p2.v","n300.l","n300.v","p3.l","p3.v","n400.l","n400.v","p4.l","p4.v","lpc.l","lpc.v"
"1",103,"congruent","stroop","fz","278","2.720535","112","-2.513643","112","-2.513643","218","6.193868","272","2.306198","278","2.720535","334","-2.48911","392","2.132707","636","-0.43421"
"2",103,"congruent","stroop","pz","278","3.918779","66","-2.968678","66","-2.968678","184","5.028199","236","-1.556051","278","3.918779","310","3.392691","398","8.750664","644","4.316277"
"3",103,"congruent","stroop","cz","280","4.186045","114","-3.435485","114","-3.435485","208","5.250103","238","2.114039","280","4.186045","320","2.533932","394","7.868053","636","2.169712"
"4",103,"congruent","simon","fz","406","4.155901","100","-0.179675","100","-0.179675","186","3.338801","292","-2.709807","406","4.155901","538","-0.938838","586","0.004646","650","0.455055"
"5",103,"congruent","simon","pz","414","11.036613","72","-1.865753","72","-1.865753","186","2.413036","240","-2.112232","414","11.036613","514","7.087652","542","6.40559","728","2.745699"
"6",103,"congruent","simon","cz","414","9.008016","102","-1.158493","102","-1.158493","206","3.179114","262","-0.67245","414","9.008016","300","2.07428","510","4.525122","608","2.121801"
"7",104,"congruent","stroop","fz","354","5.046932","124","-3.132061","124","-3.132061","218","2.540266","256","0.966945","354","5.046932","468","0.1539","486","0.436718","760","-0.55832"
"8",104,"congruent","stroop","pz","354","6.618902","88","-2.078302","88","-2.078302","204","1.740573","158","-1.551143","354","6.618902","492","3.792468","508","3.984698","762","1.030218"
"9",104,"congruent","stroop","cz","354","8.045033","124","-2.571107","124","-2.571107","208","2.205254","246","0.597493","354","8.045033","482","3.092115","590","-0.541723","762","0.621692"
"10",105,"congruent","stroop","fz","432","0.502163","128","-4.470026","128","-4.470026","226","4.477813","322","-5.273044","432","0.502163","504","-2.719122","594","-0.963018","720","0.990429"
"11",105,"congruent","stroop","pz","430","5.504877","138","-4.123346","138","-4.123346","196","1.176027","298","-2.332155","430","5.504877","494","1.943699","538","3.076729","648","3.060335"
"12",105,"congruent","stroop","cz","432","4.797932","132","-4.963352","132","-4.963352","224","3.063602","302","-2.687405","432","4.797932","498","1.146073","540","2.426228","648","3.270678"
"13",105,"congruent","simon","fz","418","5.430871","144","-4.64965","144","-4.64965","244","0.090373","186","-5.259585","418","5.430871","470","1.957071","502","2.181718","782","2.20964"
"14",105,"congruent","simon","pz","410","9.758063","128","-3.905738","128","-3.905738","206","1.609209","232","-0.993268","410","9.758063","494","3.96219","504","4.083013","640","2.270865"
"15",105,"congruent","simon","cz","416","9.732379","142","-4.163885","142","-4.163885","260","2.165219","294","0.86373","416","9.732379","494","4.307846","532","3.422922","628","2.973786"
"16",106,"congruent","stroop","fz","270","3.275423","100","-1.666638","100","-1.666638","206","3.595323","230","2.744144","270","3.275423","490","-2.30265","388","0.566684","762","-1.297657"
"17",106,"congruent","stroop","pz","354","4.784324","128","-3.167186","128","-3.167186","190","5.970491","238","2.340157","354","4.784324","492","1.779742","456","3.825548","762","1.895034"
"18",106,"congruent","stroop","cz","304","4.633692","118","-2.683402","118","-2.683402","190","3.892936","228","1.606218","304","4.633692","490","2.03347","548","2.524263","616","1.866167"
"19",106,"congruent","simon","fz","372","5.291428","106","-2.658885","106","-2.658885","220","2.666343","162","-2.517268","372","5.291428","476","-2.153517","552","-1.726741","792","-0.040765"
"20",106,"congruent","simon","pz","348","6.787825","82","-1.130381","82","-1.130381","154","3.315696","224","1.205359","348","6.787825","486","2.308428","542","2.926336","636","1.981779"
"21",106,"congruent","simon","cz","374","6.064311","100","-2.672063","100","-2.672063","234","2.726445","262","0.433599","374","6.064311","506","0.024036","568","0.653529","792","1.058063"
"22",108,"congruent","stroop","fz","394","-3.664984","76","-2.15463","76","-2.15463","234","3.038628","336","-5.894131","394","-3.664984","446","-4.404796","588","0.559607","788","2.232015"
"23",108,"congruent","stroop","pz","394","-0.76252","74","-2.122714","74","-2.122714","172","1.230853","340","-4.099257","394","-0.76252","456","-1.942966","544","1.011884","654","1.82615"
"24",108,"congruent","stroop","cz","394","-2.814256","112","-3.296958","112","-3.296958","230","2.818364","336","-5.361296","394","-2.814256","448","-3.874074","546","0.250801","652","1.612701"
"25",108,"congruent","simon","fz","400","1.137097","110","-3.508016","110","-3.508016","154","-1.3146","174","-2.3585","400","1.137097","478","-3.678159","588","-0.714237","754","1.06891"
"26",108,"congruent","simon","pz","392","4.011192","112","-2.112698","112","-2.112698","148","2.278455","220","-3.342548","392","4.011192","482","-0.702978","558","1.157355","758","-0.652019"
"27",108,"congruent","simon","cz","392","2.382467","110","-4.153866","110","-4.153866","152","-0.632339","232","-3.301695","392","2.382467","466","-2.846741","560","-0.468649","756","0.262922"
"28",109,"congruent","stroop","fz","290","-8.764753","106","0.730495","106","0.730495","182","3.29193","274","-9.494147","290","-8.764753","398","-17.011894","450","-14.282676","794","0.871762"
"29",109,"congruent","stroop","pz","360","-2.392797","138","-0.257923","138","-0.257923","182","2.521153","274","-6.146029","360","-2.392797","456","-6.784173","518","-5.442501","780","-0.531417"
"30",109,"congruent","stroop","cz","312","-6.883772","116","0.233015","116","0.233015","182","2.324586","272","-8.213656","312","-6.883772","408","-12.627892","556","-9.616801","780","0.665896"
"31",109,"congruent","simon","fz","330","-0.302826","88","-1.738084","88","-1.738084","170","-0.865641","244","-4.325184","330","-0.302826","420","-3.048799","532","0.481516","760","0.141879"
"32",109,"congruent","simon","pz","448","2.138057","138","-0.862413","138","-0.862413","160","1.640247","242","-1.690331","448","2.138057","334","0.450729","584","1.086672","626","0.47995"
"33",109,"congruent","simon","cz","330","1.494905","138","-2.180484","138","-2.180484","172","-0.198768","240","-2.558328","330","1.494905","356","1.167927","466","2.26676","742","0.188961"
"34",110,"congruent","stroop","fz","322","3.542109","106","-2.450337","106","-2.450337","178","4.174816","274","0.919971","322","3.542109","472","-1.030523","546","-0.421652","756","0.097988"
"35",110,"congruent","stroop","pz","322","3.61814","72","-2.395359","72","-2.395359","188","5.126637","282","1.569342","322","3.61814","464","0.307946","518","0.21559","696","-0.509805"
"36",110,"congruent","stroop","cz","320","4.549165","82","-3.16652","82","-3.16652","186","4.324261","260","2.095167","320","4.549165","442","-0.353797","490","0.493134","696","-0.096341"
"37",110,"congruent","simon","fz","310","7.713484","96","-5.689156","96","-5.689156","176","-1.214526","218","-6.383289","310","7.713484","446","-4.896424","514","-2.396346","780","-0.267094"
"38",110,"congruent","simon","pz","334","8.939519","108","-2.189261","108","-2.189261","188","2.026144","222","-0.320336","334","8.939519","498","-1.659852","510","-1.461345","770","-0.484209"
"39",110,"congruent","simon","cz","316","10.429099","96","-5.520747","96","-5.520747","180","0.573981","218","-3.798577","316","10.429099","458","-2.648741","514","-2.465129","780","-0.406605"
"40",111,"congruent","stroop","fz","370","0.468393","120","-2.683755","120","-2.683755","198","5.343234","316","-2.356602","370","0.468393","490","-3.455025","592","0.465567","740","-1.283945"
"41",111,"congruent","stroop","pz","370","9.595463","108","-0.234155","108","-0.234155","190","7.079607","238","-1.435722","370","9.595463","490","4.856577","534","4.528615","740","0.165328"
"42",111,"congruent","stroop","cz","370","3.138035","118","-2.982992","118","-2.982992","188","6.144506","288","-2.108367","370","3.138035","490","-0.416915","600","0.592745","742","-0.674807"
"43",111,"congruent","simon","fz","368","2.33885","116","-4.811027","116","-4.811027","182","-1.3146","242","-4.898179","368","2.33885","466","-5.077242","510","-3.748091","736","-2.992352"
"44",111,"congruent","simon","pz","324","11.09332","106","-1.226747","106","-1.226747","182","3.698904","228","-3.985193","324","11.09332","470","2.490437","500","1.855018","794","0.953271"
